DDR5,Team,6400,6400,16GB,FLABD516G6400HC32A01,Hynix M-die,SS,v,,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-DCLARWH,Hynix A-die,SS,v,v,2,v,,
DDR5,Team,6400,6400,16GB,FLARD516G6400HC32A01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FLARD532G6400HC32ADC01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FLBD516G6400HC32A01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FLBD532G6400HC32ADC01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FLRD532G6400HC32ADC01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FLABD532G6400HC32ADC01,Hynix M-die,SS,v,,2,v,,
DDR5,Team,6400,6400,16GB,FLRD516G6400HC32A01,Hynix M-die,SS,,,2,v,,
DDR5,ThermalTake,6400,6400,16GB,RG33D516GX2-6400C36B,Hynix M-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-DCLARBK,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-DCLABK,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3016G-DCLARWH,Hynix,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-DCCAGY,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-CLARWH,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-CLARBK,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-CLABK,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-CCARGY,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-CCAGY,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-BLABK,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-SLABWH,Hynix A-die,SS,v,v,2,v,,
DDR5,ADATA,6000,4800,16GB,AX5U6000C4016G-DCLARBK,Hynix,SS,v,,2/4,,,
DDR5,ADATA,6000,6000,16GB,AX5U6000C3616G-DCCARGY,Hynix A-die,SS,v,v,2,v,,
DDR5,Corsair,6200,6200,16GB,CMH32GX5M2X6200C32 ver 5.43.13,Hynix M-die,SS,v,,2,v,,
DDR5,KLEVV,6200,6200,16GB,KD5AGUA80-62E400S,,SS,,,2,v,,
DDR5,KLEVV,6200,6200,16GB,KD5AGUA80-62E400Q,,SS,v,,2,v,,
DDR5,Corsair,6000,6000,16GB,CMK32GX5M2B6000Z30 ver 5.43.01,Hynix A-die,SS,,v,2,v,,
DDR5,Corsair,6000,6000,16GB,CMH32GX5M2B6000C30W ver 5.43.01,Hynix A-die,SS,v,,2,v,,
DDR5,Team,6200,6200,16GB,FF3D516G6200HC38ABK,Hynix M-die,SS,v,,2,v,,
DDR5,Corsair,6000,5600,16GB,CMK32GX5M2D6000C36 ver 5.33.01,Hynix A-die,DS,v,v,2,,,
DDR5,Corsair,6000,6000,16GB,CMP32GX5M2B6000C30 ver 5.43.01,Hynix A-die,SS,v,,2,v,,
DDR5,G.Skill,6000,6000,16GB,F5-6000J3238F16GX2-TZ5RS,Hynix,SS,v,,2,v,,
DDR5,G.Skill,6000,6000,16GB,F5-6000J3238F16GX2-TZ5RK,Hynix,SS,v,,2,v,,
DDR5,G.Skill,6000,6000,16GB,F5-6000J3238F16GX2-TZ5NR,Hynix,SS,,v,2,v,,
DDR5,G.Skill,6000,6000,16GB,F5-6000J3040F16GX2-TZ5K,Hynix,SS,v,,2,v,,
DDR5,G.Skill,6000,6000,16GB,F5-6000J3040F16GX2-RS5K,Hynix A-die,SS,v,,2,v,,
DDR5,Kingston,6000,6000,16GB,KF560C36BWEAK2-32,Hynix A-die,SS,v,v,2,v,,
DDR5,Kingston,6000,6000,8GB,KF560C40BBA-8,Hynix M-die,SS,v,,2,v,,
DDR5,Kingston,6000,6000,8GB,KF560C40BBAK2-16,Hynix M-die,SS,v,,2,v,,
DDR5,Kingston,6000,6000,16GB,KF560C36BWEA-16,Hynix A-die,SS,v,v,2,v,,
DDR5,Kingston,6000,6000,8GB,KF560C40BB-8,Hynix M-die,SS,v,,2,v,,
DDR5,Kingston,6000,6000,16GB,KF560C40BW-16,Hynix A-die,SS,v,,2,v,,
DDR5,Kingston,6000,6000,16GB,KF560C40BWA-16,Hynix A-die,SS,v,,2,v,,
DDR5,Kingston,6000,6000,16GB,KF560C40BWAK2-32,Hynix A-die,SS,v,,2,v,,
DDR5,Kingston,6000,6000,16GB,KF560C32RWK2-32,Hynix A-die,SS,v,,2,v,,
